order_id,delivery_person_id,age,rating,order_date,order_hour,day_of_week,month,is_weekend,is_peak_hour,weather,traffic,vehicle,distance_km,restaurant_name,city_zone,festival,multiple_deliveries,actual_time_mins,estimated_mins,delay_mins,is_delayed,delivery_cost_inr,efficiency_score,on_time_pct,cost_per_km
ORD000001,DP0409,32,3.4,2023-01-01T00:00:00Z,8,Sunday,January,1,0,windy,high,scooter,2.95,Salad Bowl,East,None,0,23.3,24.6,-1.3,0,41.89,100,1,14.2
ORD000002,DP0451,31,4.9,2023-01-01T00:00:00Z,9,Sunday,January,1,0,foggy,medium,bike,6.66,BBQ Junction,Central,Navratri,0,28.3,28,0.3,1,58.39,100,0,8.77
ORD000003,DP0052,23,4.4,2023-01-01T00:00:00Z,9,Sunday,January,1,0,cloudy,jam,scooter,12.57,Rice Bucket,West,None,0,47,47,0,0,93.35,100,1,7.43
ORD000004,DP0443,32,3.7,2023-01-01T00:00:00Z,11,Sunday,January,1,0,sunny,medium,bicycle,3.41,Sushi Spot,West,None,0,17.4,17.8,-0.4,0,46.67,100,1,13.69
ORD000005,DP0333,22,4,2023-01-01T00:00:00Z,16,Sunday,January,1,0,sunny,medium,bicycle,2.07,Noodle House,East,Navratri,0,28.1,25.4,2.7,1,35.54,100,0,17.17
ORD000006,DP0280,26,3.9,2023-01-01T00:00:00Z,16,Sunday,January,1,0,sunny,low,scooter,7.32,Biryani Express,East,Holi,0,28.6,24.6,4,1,54.8,100,0,7.49
ORD000007,DP0230,26,3.9,2023-01-01T00:00:00Z,17,Sunday,January,1,0,rainy,low,scooter,3.8,Spice Garden,East,None,0,18.3,18.8,-0.5,0,33.95,100,1,8.93
ORD000008,DP0363,29,3.1,2023-01-01T00:00:00Z,0,Monday,January,0,0,foggy,low,bike,3.07,Rice Bucket,North,None,0,19.2,16.7,2.5,1,27.02,100,0,8.8
ORD000009,DP0420,32,3.8,2023-01-01T00:00:00Z,4,Monday,January,0,0,sunny,medium,scooter,5.54,Burger Palace,West,Navratri,0,27.2,23.6,3.6,1,55.47,100,0,10.01
ORD000010,DP0041,21,4.1,2023-01-01T00:00:00Z,4,Monday,January,0,0,sunny,low,bike,9.38,Sushi Spot,East,None,0,29.8,27.4,2.4,1,64.48,100,0,6.87
ORD000011,DP0461,19,3.7,2023-01-02T00:00:00Z,6,Monday,January,0,0,sunny,medium,bicycle,3.32,Taco Town,South,None,0,15.6,13.5,2.1,1,39.67,100,0,11.95
ORD000012,DP0046,26,3.4,2023-01-02T00:00:00Z,7,Monday,January,0,0,rainy,high,bike,4.89,Sandwich Stop,West,None,1,30.1,31.3,-1.2,0,42.77,100,1,8.75
ORD000013,DP0194,30,3,2023-01-02T00:00:00Z,8,Monday,January,0,0,windy,high,bike,6.76,Salad Bowl,Central,Diwali,0,33.5,30.6,2.9,1,67.73,100,0,10.02
ORD000014,DP0157,27,4.9,2023-01-02T00:00:00Z,9,Monday,January,0,0,sunny,low,bike,7.02,Rice Bucket,West,None,0,18,15.8,2.2,1,47.23,100,0,6.73
ORD000015,DP0319,24,4.9,2023-01-02T00:00:00Z,19,Monday,January,0,1,sunny,jam,bike,4.17,Sandwich Stop,North,Eid,0,37.7,43.2,-5.5,0,55.41,100,1,13.29
ORD000016,DP0141,30,3.7,2023-01-02T00:00:00Z,4,Tuesday,January,0,0,sunny,medium,scooter,5.13,Sandwich Stop,East,None,1,24.8,25.1,-0.3,0,45.57,100,1,8.88
ORD000017,DP0416,27,3.8,2023-01-02T00:00:00Z,5,Tuesday,January,0,0,cloudy,high,bike,7.81,Curry Corner,West,Diwali,0,33.9,37.7,-3.8,0,76.75,100,1,9.83
ORD000018,DP0087,26,3.6,2023-01-03T00:00:00Z,7,Tuesday,January,0,0,sunny,high,bicycle,9.08,Curry Corner,South,None,0,30.2,32.3,-2.1,0,79.27,100,1,8.73
ORD000019,DP0039,27,3.6,2023-01-03T00:00:00Z,11,Tuesday,January,0,0,cloudy,high,scooter,4.22,Roll Master,South,None,0,29,34.2,-5.2,0,52.92,100,1,12.54
ORD000020,DP0289,30,3.9,2023-01-03T00:00:00Z,20,Tuesday,January,0,1,rainy,low,bike,3.9,Wrap Zone,West,None,1,25.5,29.1,-3.6,0,34.14,100,1,8.75
ORD000021,DP0318,19,3.7,2023-01-03T00:00:00Z,0,Wednesday,January,0,0,foggy,medium,bike,5.13,Spice Garden,North,Eid,0,38.9,37.2,1.7,1,55.21,100,0,10.76
ORD000022,DP0393,27,3.6,2023-01-03T00:00:00Z,4,Wednesday,January,0,0,cloudy,low,bike,3.99,Roll Master,North,None,1,21.8,22.8,-1,0,39.64,100,1,9.93
ORD000023,DP0259,24,4.5,2023-01-04T00:00:00Z,6,Wednesday,January,0,0,windy,medium,bike,17.62,Noodle House,South,Navratri,1,56.7,63.2,-6.5,0,121.47,100,1,6.89
ORD000024,DP0137,29,3.9,2023-01-04T00:00:00Z,7,Wednesday,January,0,0,rainy,low,scooter,25,Curry Corner,West,Holi,0,67.2,66.1,1.1,1,160.54,100,0,6.42
ORD000025,DP0040,23,4.8,2023-01-04T00:00:00Z,11,Wednesday,January,0,0,cloudy,low,bike,5.77,Curry Corner,Central,None,1,25.6,26.1,-0.5,0,46.1,100,1,7.99
ORD000026,DP0243,39,3.7,2023-01-04T00:00:00Z,22,Wednesday,January,0,0,windy,high,bike,3.08,Curry Corner,East,None,1,27.5,28.7,-1.2,0,38.73,100,1,12.57
ORD000027,DP0226,28,3.7,2023-01-04T00:00:00Z,23,Wednesday,January,0,0,sunny,medium,bike,9.46,Noodle House,South,None,0,29.8,31.3,-1.5,0,70.5,100,1,7.45
ORD000028,DP0421,31,3.6,2023-01-04T00:00:00Z,23,Wednesday,January,0,0,sunny,low,bike,4.83,Sushi Spot,West,Holi,0,20.3,21.8,-1.5,0,53.73,100,1,11.12
ORD000029,DP0498,24,3.8,2023-01-04T00:00:00Z,1,Thursday,January,0,0,sunny,medium,bike,3.9,Pizza Hub,West,None,1,19,18.4,0.6,1,43.87,100,0,11.25
ORD000030,DP0284,24,4.8,2023-01-04T00:00:00Z,3,Thursday,January,0,0,foggy,medium,bike,3.57,Noodle House,Central,None,0,26.8,24,2.8,1,42.93,100,0,12.03
ORD000031,DP0466,30,3.1,2023-01-04T00:00:00Z,4,Thursday,January,0,0,rainy,medium,bike,8.89,Burger Palace,North,None,0,26.9,30.5,-3.6,0,66.07,100,1,7.43
ORD000032,DP0240,29,4.3,2023-01-05T00:00:00Z,5,Thursday,January,0,0,cloudy,low,bicycle,3.11,Rice Bucket,West,None,0,15.4,18.4,-3,0,38.98,100,1,12.53
ORD000033,DP0470,39,3,2023-01-05T00:00:00Z,6,Thursday,January,0,0,sunny,medium,bike,2.52,Burger Palace,East,None,1,18.9,17,1.9,1,27.94,100,0,11.09
ORD000034,DP0306,29,3.6,2023-01-05T00:00:00Z,6,Thursday,January,0,0,sunny,low,bike,4.82,Burger Palace,Central,None,1,17.3,17.8,-0.5,0,51.93,100,1,10.77
ORD000035,DP0233,27,4.6,2023-01-05T00:00:00Z,7,Thursday,January,0,0,rainy,high,bike,6.24,Sushi Spot,North,None,0,33,37.2,-4.2,0,65.73,100,1,10.53
ORD000036,DP0115,30,3.3,2023-01-05T00:00:00Z,11,Thursday,January,0,0,cloudy,medium,bike,8.89,Burger Palace,South,None,0,27.4,26.5,0.9,1,61.43,100,0,6.91
ORD000037,DP0353,26,4.1,2023-01-05T00:00:00Z,18,Thursday,January,0,0,sunny,medium,scooter,12.93,Curry Corner,West,None,0,36.4,35.8,0.6,1,90.21,100,0,6.98
ORD000038,DP0136,24,4.1,2023-01-05T00:00:00Z,20,Thursday,January,0,1,windy,high,scooter,6.58,Biryani Express,Central,None,0,30.8,33,-2.2,0,56.81,100,1,8.63
ORD000039,DP0332,25,3.3,2023-01-06T00:00:00Z,6,Friday,January,0,0,rainy,high,bike,3.04,Spice Garden,East,None,0,25.8,25.1,0.7,1,34.45,100,0,11.33
ORD000040,DP0163,27,3.9,2023-01-06T00:00:00Z,6,Friday,January,0,0,sunny,medium,scooter,7.32,Rice Bucket,South,None,1,31.5,29.9,1.6,1,57.78,100,0,7.89
ORD000041,DP0339,28,4.6,2023-01-06T00:00:00Z,6,Friday,January,0,0,sunny,medium,scooter,10.26,Sushi Spot,East,None,0,31.6,30.2,1.4,1,71.95,100,0,7.01
ORD000042,DP0270,24,3.8,2023-01-06T00:00:00Z,18,Friday,January,0,0,sunny,high,scooter,4.08,Taco Town,Central,None,0,21.1,19.4,1.7,1,45.49,100,0,11.15
ORD000043,DP0314,32,3.3,2023-01-06T00:00:00Z,18,Friday,January,0,0,rainy,medium,bike,3.89,Curry Corner,North,None,0,17.8,17.7,0.1,1,39.7,100,0,10.21
ORD000044,DP0157,19,4.9,2023-01-06T00:00:00Z,21,Friday,January,0,1,cloudy,low,scooter,5.99,Wrap Zone,South,Christmas,0,28.8,34.4,-5.6,0,59,100,1,9.85
ORD000045,DP0159,28,4.2,2023-01-06T00:00:00Z,22,Friday,January,0,0,rainy,medium,bike,13.06,Salad Bowl,East,None,0,38.6,44.4,-5.8,0,91.98,100,1,7.04
ORD000046,DP0344,30,4.3,2023-01-06T00:00:00Z,22,Friday,January,0,0,sunny,high,bike,7.5,Sushi Spot,North,None,1,30.3,32.3,-2,0,68.59,100,1,9.15
ORD000047,DP0240,26,4.1,2023-01-06T00:00:00Z,1,Saturday,January,1,0,sunny,low,scooter,8.58,Roll Master,South,None,1,27.8,27.9,-0.1,0,59.74,100,1,6.96
ORD000048,DP0441,24,4.1,2023-01-07T00:00:00Z,13,Saturday,January,1,1,sunny,high,bike,3.05,Sushi Spot,West,None,1,31.5,31.7,-0.2,0,39.26,100,1,12.87
ORD000049,DP0390,28,4.5,2023-01-07T00:00:00Z,16,Saturday,January,1,0,rainy,high,bike,10.88,Dosa Point,East,None,0,41.9,43.6,-1.7,0,93.23,100,1,8.57
ORD000050,DP0235,18,4.6,2023-01-07T00:00:00Z,19,Saturday,January,1,1,cloudy,high,bike,3.84,Noodle House,North,None,1,34.3,35.8,-1.5,0,50.73,100,1,13.21
ORD000051,DP0058,32,4.6,2023-01-07T00:00:00Z,20,Saturday,January,1,1,cloudy,low,bike,5.54,Sushi Spot,East,None,1,24.5,25.5,-1,0,50.13,100,1,9.05
ORD000052,DP0195,29,3.7,2023-01-07T00:00:00Z,20,Saturday,January,1,1,sunny,high,scooter,4.36,Dosa Point,Central,None,0,21.5,20.7,0.8,1,51.7,100,0,11.86
ORD000053,DP0490,19,3.7,2023-01-07T00:00:00Z,23,Saturday,January,1,0,rainy,medium,scooter,4.92,Curry Corner,South,None,1,28.8,34.1,-5.3,0,46.13,100,1,9.38
ORD000054,DP0341,18,3.4,2023-01-07T00:00:00Z,4,Sunday,January,1,0,sunny,medium,bike,4.02,Taco Town,West,Diwali,0,28.1,24.6,3.5,1,44.84,100,0,11.15
ORD000055,DP0064,30,4.1,2023-01-07T00:00:00Z,4,Sunday,January,1,0,cloudy,medium,bike,9.35,Sushi Spot,West,None,0,30.7,29.6,1.1,1,64.39,100,0,6.89
ORD000056,DP0276,38,4.2,2023-01-08T00:00:00Z,9,Sunday,January,1,0,sunny,medium,bicycle,5.01,Roll Master,North,None,1,19.2,21.8,-2.6,0,49.82,100,1,9.94
ORD000057,DP0061,28,4.1,2023-01-08T00:00:00Z,10,Sunday,January,1,0,sunny,medium,bicycle,3.58,Salad Bowl,South,None,1,19.3,22.7,-3.4,0,39.89,100,1,11.14
ORD000058,DP0215,25,4.1,2023-01-08T00:00:00Z,10,Sunday,January,1,0,sunny,low,scooter,25,BBQ Junction,South,None,0,57,58.4,-1.4,0,146.15,100,1,5.85
ORD000059,DP0156,42,3.4,2023-01-08T00:00:00Z,13,Sunday,January,1,1,cloudy,low,scooter,7.62,Taco Town,South,None,0,29.1,25.7,3.4,1,55.46,100,0,7.28
ORD000060,DP0147,35,4.2,2023-01-08T00:00:00Z,14,Sunday,January,1,0,cloudy,low,bike,7.35,BBQ Junction,South,Diwali,1,34.9,38,-3.1,0,65.77,100,1,8.95
ORD000061,DP0130,20,4.6,2023-01-08T00:00:00Z,14,Sunday,January,1,0,sunny,jam,scooter,2.79,Rice Bucket,East,Diwali,0,29.7,34.4,-4.7,0,38.29,100,1,13.72
ORD000062,DP0430,18,5,2023-01-08T00:00:00Z,17,Sunday,January,1,0,sunny,medium,bike,8.5,Sushi Spot,South,None,1,28.1,30.1,-2,0,69.69,100,1,8.2
ORD000063,DP0117,35,4.8,2023-01-08T00:00:00Z,18,Sunday,January,1,0,sunny,high,bike,9.28,Sandwich Stop,North,None,0,34.9,30.9,4,1,75.93,100,0,8.18
ORD000064,DP0340,33,4.7,2023-01-08T00:00:00Z,21,Sunday,January,1,1,sunny,high,scooter,6.13,Rice Bucket,West,Eid,0,36.7,43.6,-6.9,0,58.11,100,1,9.48
ORD000065,DP0151,33,3.9,2023-01-08T00:00:00Z,23,Sunday,January,1,0,sunny,low,scooter,2.47,Wrap Zone,West,None,1,14.9,14.9,0,0,31.09,100,1,12.59
ORD000066,DP0250,34,3.7,2023-01-08T00:00:00Z,3,Monday,January,0,0,foggy,high,bike,10.59,Biryani Express,North,Eid,0,45.2,41.2,4,1,95.07,100,0,8.98
ORD000067,DP0180,28,3.1,2023-01-08T00:00:00Z,5,Monday,January,0,0,windy,medium,scooter,17.02,Rice Bucket,West,None,0,47.7,54.1,-6.4,0,99.26,100,1,5.83
ORD000068,DP0444,21,3.8,2023-01-09T00:00:00Z,8,Monday,January,0,0,sunny,jam,bicycle,5.85,Dosa Point,East,None,0,32.8,33.2,-0.4,0,50.79,100,1,8.68
ORD000069,DP0335,28,3.9,2023-01-09T00:00:00Z,14,Monday,January,0,0,sunny,high,bike,4.86,Spice Garden,Central,Holi,0,27.6,32.9,-5.3,0,57.72,100,1,11.88
ORD000070,DP0013,22,3.1,2023-01-09T00:00:00Z,19,Monday,January,0,1,cloudy,jam,bike,6.15,Pizza Hub,East,None,0,35.7,37.2,-1.5,0,65.96,100,1,10.73
ORD000071,DP0116,30,3.7,2023-01-09T00:00:00Z,20,Monday,January,0,1,sunny,low,bike,14.3,Biryani Express,Central,None,0,40.8,48.8,-8,0,94.14,100,1,6.58
ORD000072,DP0004,36,4.9,2023-01-09T00:00:00Z,21,Monday,January,0,1,sunny,low,bike,3.81,Noodle House,South,None,0,18.8,16.2,2.6,1,43.43,100,0,11.4
ORD000073,DP0045,24,4.8,2023-01-09T00:00:00Z,21,Monday,January,0,1,sunny,high,scooter,9.21,BBQ Junction,North,None,1,43.5,48.8,-5.3,0,82.07,100,1,8.91
ORD000074,DP0421,29,4.6,2023-01-09T00:00:00Z,21,Monday,January,0,1,cloudy,medium,bike,2.47,Burger Palace,Central,None,0,18.2,15.9,2.3,1,32.69,100,0,13.23
ORD000075,DP0121,21,4.7,2023-01-09T00:00:00Z,22,Monday,January,0,0,sunny,medium,bike,3.8,Noodle House,East,None,1,19.1,19.9,-0.8,0,37.89,100,1,9.97
ORD000076,DP0037,26,3.3,2023-01-09T00:00:00Z,23,Monday,January,0,0,sunny,low,bike,2.52,Noodle House,West,None,1,16.1,18,-1.9,0,34.94,100,1,13.87
ORD000077,DP0031,32,4.7,2023-01-09T00:00:00Z,23,Monday,January,0,0,cloudy,medium,bicycle,6.76,Rice Bucket,North,None,0,22.8,25.1,-2.3,0,55.31,100,1,8.18
ORD000078,DP0332,31,3.4,2023-01-09T00:00:00Z,4,Tuesday,January,0,0,sunny,low,bike,3.74,Biryani Express,North,New Year,1,25.6,30.7,-5.1,0,46.09,100,1,12.32
ORD000079,DP0324,26,4.9,2023-01-10T00:00:00Z,6,Tuesday,January,0,0,sunny,medium,scooter,3.58,Biryani Express,East,None,1,15.4,14.8,0.6,1,42.53,100,0,11.88
ORD000080,DP0300,22,4.9,2023-01-10T00:00:00Z,11,Tuesday,January,0,0,sunny,jam,scooter,3.86,Taco Town,South,None,1,28.9,34.4,-5.5,0,42.87,100,1,11.11
ORD000081,DP0314,30,4.4,2023-01-10T00:00:00Z,15,Tuesday,January,0,0,cloudy,medium,scooter,4.61,Wrap Zone,Central,Christmas,0,24,25.1,-1.1,0,52.45,100,1,11.38
ORD000082,DP0400,24,4.3,2023-01-10T00:00:00Z,16,Tuesday,January,0,0,rainy,medium,bike,5.55,Sushi Spot,Central,Diwali,0,32.4,37.9,-5.5,0,55.38,100,1,9.98
