order_id,delivery_person_id,age,rating,order_date,order_hour,day_of_week,month,is_weekend,is_peak_hour,weather,traffic,vehicle,distance_km,restaurant_name,city_zone,festival,multiple_deliveries,actual_time_mins,estimated_mins
ORD000001,DP0409,32,3.4,2023-01-01T00:00:00Z,8,Sunday,January,1,0,windy,high,scooter,2.95,Salad Bowl,East,None,0,23.3,24.6
ORD000002,DP0451,31,4.9,2023-01-01T00:00:00Z,9,Sunday,January,1,0,foggy,medium,bike,6.66,BBQ Junction,Central,Navratri,0,28.3,28
ORD000003,DP0052,23,4.4,2023-01-01T00:00:00Z,9,Sunday,January,1,0,cloudy,jam,scooter,12.57,Rice Bucket,West,None,0,47,47
ORD000004,DP0443,32,3.7,2023-01-01T00:00:00Z,11,Sunday,January,1,0,sunny,medium,bicycle,3.41,Sushi Spot,West,None,0,17.4,17.8
ORD000005,DP0333,22,4,2023-01-01T00:00:00Z,16,Sunday,January,1,0,sunny,medium,bicycle,2.07,Noodle House,East,Navratri,0,28.1,25.4
ORD000006,DP0280,26,3.9,2023-01-01T00:00:00Z,16,Sunday,January,1,0,sunny,low,scooter,7.32,Biryani Express,East,Holi,0,28.6,24.6
ORD000007,DP0230,26,3.9,2023-01-01T00:00:00Z,17,Sunday,January,1,0,rainy,low,scooter,3.8,Spice Garden,East,None,0,18.3,18.8
ORD000008,DP0363,29,3.1,2023-01-01T00:00:00Z,0,Monday,January,0,0,foggy,low,bike,3.07,Rice Bucket,North,None,0,19.2,16.7
ORD000009,DP0420,32,3.8,2023-01-01T00:00:00Z,4,Monday,January,0,0,sunny,medium,scooter,5.54,Burger Palace,West,Navratri,0,27.2,23.6
ORD000010,DP0041,21,4.1,2023-01-01T00:00:00Z,4,Monday,January,0,0,sunny,low,bike,9.38,Sushi Spot,East,None,0,29.8,27.4
ORD000011,DP0461,19,3.7,2023-01-02T00:00:00Z,6,Monday,January,0,0,sunny,medium,bicycle,3.32,Taco Town,South,None,0,15.6,13.5
ORD000012,DP0046,26,3.4,2023-01-02T00:00:00Z,7,Monday,January,0,0,rainy,high,bike,4.89,Sandwich Stop,West,None,1,30.1,31.3
ORD000013,DP0194,30,3,2023-01-02T00:00:00Z,8,Monday,January,0,0,windy,high,bike,6.76,Salad Bowl,Central,Diwali,0,33.5,30.6
ORD000014,DP0157,27,4.9,2023-01-02T00:00:00Z,9,Monday,January,0,0,sunny,low,bike,7.02,Rice Bucket,West,None,0,18,15.8
ORD000015,DP0319,24,4.9,2023-01-02T00:00:00Z,19,Monday,January,0,1,sunny,jam,bike,4.17,Sandwich Stop,North,Eid,0,37.7,43.2
ORD000016,DP0141,30,3.7,2023-01-02T00:00:00Z,4,Tuesday,January,0,0,sunny,medium,scooter,5.13,Sandwich Stop,East,None,1,24.8,25.1
ORD000017,DP0416,27,3.8,2023-01-02T00:00:00Z,5,Tuesday,January,0,0,cloudy,high,bike,7.81,Curry Corner,West,Diwali,0,33.9,37.7
ORD000018,DP0087,26,3.6,2023-01-03T00:00:00Z,7,Tuesday,January,0,0,sunny,high,bicycle,9.08,Curry Corner,South,None,0,30.2,32.3
ORD000019,DP0039,27,3.6,2023-01-03T00:00:00Z,11,Tuesday,January,0,0,cloudy,high,scooter,4.22,Roll Master,South,None,0,29,34.2
ORD000020,DP0289,30,3.9,2023-01-03T00:00:00Z,20,Tuesday,January,0,1,rainy,low,bike,3.9,Wrap Zone,West,None,1,25.5,29.1
ORD000021,DP0318,19,3.7,2023-01-03T00:00:00Z,0,Wednesday,January,0,0,foggy,medium,bike,5.13,Spice Garden,North,Eid,0,38.9,37.2
