"id","delivery_person_id","delivery_person_age","delivery_person_ratings","restaurant_latitude","restaurant_longitude","delivery_location_latitude","delivery_location_longitude","order_date","time_ordered","time_order_picked","weather_conditions","road_traffic_density","type_of_vehicle","delivery_duration_mins","distance_km","year","month","quarter","day_of_week","is_weekend","order_hour","time_period","traffic_level_num","weather_impact","actual_delivery_mins","is_delayed","delay_mins","on_time_delivery","delivery_speed","delivery_cost","order_value","profit_margin","cost_per_km","traffic_impact","distance_impact","partner_reliability","delivery_risk","efficiency_score","satisfaction_index","rider_experience","rating_category"
"ORD000001","DP0409",32,3.4,12.954096,77.706251,13.024006,77.495835,1-01-20,08:25:00,08:30:00,"other","high","scooter",NA,24.0873875013007,1,"Jan",1,"Sat",TRUE,8,"Morning",3,20,NA,NA,NA,NA,"Very Slow",204.742793761056,266.165631889373,23.0769230769231,8.5,80,49,68,55,NA,68,"Mid","Average"
"ORD000002","DP0451",31,4.9,13.045209,77.524823,12.859931,77.478383,1-01-20,09:33:00,09:36:00,"foggy","medium","bike",NA,21.2077195421635,1,"Jan",1,"Sat",TRUE,9,"Morning",2,50,NA,NA,NA,NA,"Very Slow",180.26561610839,234.345300940906,23.0769230769231,8.5,50,43,98,38,NA,98,"Mid","Excellent"
"ORD000003","DP0052",23,4.4,12.968803,77.51324,12.867005,77.760802,1-01-20,09:42:00,09:46:00,"cloudy","gridlock","scooter",NA,29.1209375846548,1,"Jan",1,"Sat",TRUE,9,"Morning",2,50,NA,NA,NA,NA,"Very Slow",247.527969469566,321.786360310436,23.0769230769231,8.5,20,60,88,36,NA,88,"Junior","Good"
"ORD000004","DP0443",32,3.7,13.099323,77.592184,12.809923,77.770941,1-01-20,11:55:00,11:58:00,"clear","medium","bicycle",NA,37.560265975475,1,"Jan",1,"Sat",TRUE,11,"Morning",2,20,NA,NA,NA,NA,"Very Slow",319.262260791538,415.040939028999,23.0769230769231,8.5,50,77,74,53,NA,74,"Mid","Average"
"ORD000005","DP0333",22,4,12.972372,77.704366,13.162395,77.689968,1-01-20,16:08:00,16:12:00,"clear","medium","bicycle",NA,21.1870678631731,1,"Jan",1,"Sat",TRUE,16,"Afternoon",2,20,NA,NA,NA,NA,"Very Slow",180.090076836971,234.117099888062,23.0769230769231,8.5,50,43,80,42,NA,80,"Junior","Good"
"ORD000006","DP0280",26,3.9,12.952365,77.572313,13.117883,77.444114,1-01-20,16:46:00,16:51:00,"clear","low","scooter",NA,23.0565563378627,1,"Jan",1,"Sat",TRUE,16,"Afternoon",1,20,NA,NA,NA,NA,"Very Slow",195.980728871833,254.774947533382,23.0769230769231,8.5,20,47,78,34,NA,78,"Mid","Average"
"ORD000007","DP0230",26,3.9,12.907998,77.720156,13.182966,77.623996,1-01-20,17:53:00,17:56:00,"rainy","low","scooter",NA,32.300736923813,1,"Jan",1,"Sat",TRUE,17,"Evening",1,80,NA,NA,NA,NA,"Very Slow",274.55626385241,356.923143008133,23.0769230769231,8.5,20,66,78,40,NA,78,"Mid","Average"
"ORD000008","DP0363",29,3.1,12.973729,77.615574,13.044854,77.423577,1-01-20,00:38:00,00:42:00,"foggy","low","bike",NA,22.2538847628385,1,"Jan",1,"Sat",TRUE,0,"Late Night",1,50,NA,NA,NA,NA,"Very Slow",189.158020484128,245.905426629366,23.0769230769231,8.5,20,46,62,37,NA,62,"Mid","Average"
"ORD000009","DP0420",32,3.8,13.102047,77.648221,13.149058,77.612037,1-01-20,04:14:00,04:18:00,"clear","medium","scooter",NA,6.53292573218385,1,"Jan",1,"Sat",TRUE,4,"Late Night",2,20,NA,NA,NA,NA,"Very Slow",55.5298687235627,72.1888293406315,23.0769230769231,8.5,50,13,76,34,NA,76,"Mid","Average"
"ORD000010","DP0041",21,4.1,13.06866,77.647538,13.13193,77.41356,1-01-20,04:45:00,04:53:00,"clear","low","bike",NA,26.298559660778,1,"Jan",1,"Sat",TRUE,4,"Late Night",1,20,NA,NA,NA,NA,"Very Slow",223.537757116613,290.599084251596,23.0769230769231,8.5,20,54,82,36,NA,82,"Junior","Good"
