ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Ordered,Time_Order_Picked,Weather_conditions,Road_traffic_density,Type_of_vehicle
ORD000001,DP0409,32,3.4,12.954096,77.706251,13.024006,77.495835,01-01-2023,08:25:00,08:30:00,windy,high,scooter
ORD000002,DP0451,31,4.9,13.045209,77.524823,12.859931,77.478383,01-01-2023,09:33:00,09:36:00,foggy,medium,bike
ORD000003,DP0052,23,4.4,12.968803,77.51324,12.867005,77.760802,01-01-2023,09:42:00,09:46:00,cloudy,jam,scooter
ORD000004,DP0443,32,3.7,13.099323,77.592184,12.809923,77.770941,01-01-2023,11:55:00,11:58:00,sunny,medium,bicycle
ORD000005,DP0333,22,4,12.972372,77.704366,13.162395,77.689968,01-01-2023,16:08:00,16:12:00,sunny,medium,bicycle
ORD000006,DP0280,26,3.9,12.952365,77.572313,13.117883,77.444114,01-01-2023,16:46:00,16:51:00,sunny,low,scooter
ORD000007,DP0230,26,3.9,12.907998,77.720156,13.182966,77.623996,01-01-2023,17:53:00,17:56:00,rainy,low,scooter
ORD000008,DP0363,29,3.1,12.973729,77.615574,13.044854,77.423577,01-01-2023,00:38:00,00:42:00,foggy,low,bike
ORD000009,DP0420,32,3.8,13.102047,77.648221,13.149058,77.612037,01-01-2023,04:14:00,04:18:00,sunny,medium,scooter
ORD000010,DP0041,21,4.1,13.06866,77.647538,13.13193,77.41356,01-01-2023,04:45:00,04:53:00,sunny,low,bike
ORD000011,DP0461,19,3.7,12.865429,77.537817,13.079639,77.757838,02-01-2023,06:51:00,06:58:00,sunny,medium,bicycle
ORD000012,DP0046,26,3.4,13.081021,77.745516,12.911625,77.71239,02-01-2023,07:56:00,08:00:00,rainy,high,bike
ORD000013,DP0194,30,3,12.99437,77.569666,12.915252,77.44258,02-01-2023,08:17:00,08:23:00,windy,high,bike
ORD000014,DP0157,27,4.9,13.069631,77.483432,13.155401,77.462189,02-01-2023,09:01:00,09:08:00,sunny,low,bike
ORD000015,DP0319,24,4.9,12.932874,77.625706,13.173635,77.521018,02-01-2023,19:30:00,19:34:00,sunny,jam,bike
ORD000016,DP0141,30,3.7,13.138787,77.558597,12.978832,77.546718,02-01-2023,04:28:00,04:31:00,sunny,medium,scooter
ORD000017,DP0416,27,3.8,12.950584,77.557787,13.133666,77.714039,02-01-2023,05:01:00,05:08:00,cloudy,high,bike
ORD000018,DP0087,26,3.6,12.973445,77.451847,13.106431,77.619003,03-01-2023,07:11:00,07:17:00,sunny,high,bicycle
ORD000019,DP0039,27,3.6,12.990354,77.666854,13.197381,77.505829,03-01-2023,11:24:00,11:32:00,cloudy,high,scooter
ORD000020,DP0289,30,3.9,12.854261,77.728154,12.826468,77.767436,03-01-2023,20:49:00,20:54:00,rainy,low,bike
ORD000021,DP0318,19,3.7,12.968532,77.62073,12.832925,77.75309,03-01-2023,00:17:00,00:19:00,foggy,medium,bike
ORD000022,DP0393,27,3.6,13.113941,77.748138,12.933895,77.535613,03-01-2023,04:59:00,05:04:00,cloudy,low,bike
ORD000023,DP0259,24,4.5,12.953898,77.531381,12.885994,77.779574,04-01-2023,06:29:00,06:32:00,windy,medium,bike
ORD000024,DP0137,29,3.9,13.03688,77.4642,12.904286,77.74267,04-01-2023,07:16:00,07:20:00,rainy,low,scooter
ORD000025,DP0040,23,4.8,12.900948,77.622118,13.056152,77.657936,04-01-2023,11:37:00,11:42:00,cloudy,low,bike
ORD000026,DP0243,39,3.7,12.953457,77.581552,12.959137,77.789583,04-01-2023,22:00:00,22:04:00,windy,high,bike
ORD000027,DP0226,28,3.7,13.123496,77.653329,13.135981,77.752717,04-01-2023,23:28:00,23:33:00,sunny,medium,bike
ORD000028,DP0421,31,3.6,13.115847,77.488082,12.873373,77.600718,04-01-2023,23:40:00,23:47:00,sunny,low,bike
ORD000029,DP0498,24,3.8,13.128589,77.711073,13.165437,77.531784,04-01-2023,01:36:00,01:42:00,sunny,medium,bike
ORD000030,DP0284,24,4.8,13.148469,77.70442,12.807573,77.552471,04-01-2023,03:13:00,03:16:00,foggy,medium,bike
ORD000031,DP0466,30,3.1,13.087078,77.538859,13.199919,77.717335,04-01-2023,04:39:00,04:43:00,rainy,medium,bike
ORD000032,DP0240,29,4.3,12.853032,77.677494,12.844876,77.562433,05-01-2023,05:37:00,05:41:00,cloudy,low,bicycle
ORD000033,DP0470,39,3,12.936856,77.557765,13.123954,77.552601,05-01-2023,06:26:00,06:34:00,sunny,medium,bike
ORD000034,DP0306,29,3.6,12.85302,77.599168,12.968218,77.629083,05-01-2023,06:46:00,06:48:00,sunny,low,bike
ORD000035,DP0233,27,4.6,13.053073,77.629273,13.110956,77.64566,05-01-2023,07:57:00,07:59:00,rainy,high,bike
ORD000036,DP0115,30,3.3,13.075494,77.734668,13.061236,77.475244,05-01-2023,11:34:00,11:39:00,cloudy,medium,bike
ORD000037,DP0353,26,4.1,13.048162,77.537487,12.849389,77.739227,05-01-2023,18:39:00,18:43:00,sunny,medium,scooter
ORD000038,DP0136,24,4.1,13.031782,77.735715,13.177664,77.769783,05-01-2023,20:26:00,20:34:00,windy,high,scooter
ORD000039,DP0332,25,3.3,13.128519,77.461287,13.199906,77.685868,06-01-2023,06:18:00,06:21:00,rainy,high,bike
ORD000040,DP0163,27,3.9,13.092511,77.592334,12.834279,77.686588,06-01-2023,06:46:00,06:51:00,sunny,medium,scooter
ORD000041,DP0339,28,4.6,12.990776,77.477582,12.827779,77.625922,06-01-2023,06:47:00,06:53:00,sunny,medium,scooter
ORD000042,DP0270,24,3.8,12.935378,77.686589,12.819296,77.501347,06-01-2023,18:00:00,18:05:00,sunny,high,scooter
ORD000043,DP0314,32,3.3,13.104531,77.472458,12.877875,77.609659,06-01-2023,18:51:00,18:59:00,rainy,medium,bike
ORD000044,DP0157,19,4.9,13.146806,77.690499,12.912233,77.602028,06-01-2023,21:15:00,21:22:00,cloudy,low,scooter
ORD000045,DP0159,28,4.2,13.104518,77.517801,12.886028,77.669424,06-01-2023,22:23:00,22:27:00,rainy,medium,bike
ORD000046,DP0344,30,4.3,13.049171,77.674259,13.029536,77.650706,06-01-2023,22:40:00,22:44:00,sunny,high,bike
ORD000047,DP0240,26,4.1,12.94176,77.655391,13.085688,77.784462,06-01-2023,01:01:00,01:08:00,sunny,low,scooter
ORD000048,DP0441,24,4.1,12.95153,77.495041,12.935593,77.406961,07-01-2023,13:05:00,13:12:00,sunny,high,bike
ORD000049,DP0390,28,4.5,13.12871,77.554357,12.808006,77.777843,07-01-2023,16:23:00,16:31:00,rainy,high,bike
ORD000050,DP0235,18,4.6,13.049174,77.522545,13.144318,77.667415,07-01-2023,19:58:00,20:01:00,cloudy,high,bike
ORD000051,DP0058,32,4.6,12.924311,77.540078,13.188322,77.412766,07-01-2023,20:00:00,20:07:00,cloudy,low,bike
ORD000052,DP0195,29,3.7,13.115045,77.565626,12.809163,77.789939,07-01-2023,20:36:00,20:41:00,sunny,high,scooter
ORD000053,DP0490,19,3.7,12.892016,77.502019,13.022743,77.693511,07-01-2023,23:54:00,00:01:00,rainy,medium,scooter
ORD000054,DP0341,18,3.4,12.906698,77.724323,13.099211,77.451869,07-01-2023,04:02:00,04:09:00,sunny,medium,bike
ORD000055,DP0064,30,4.1,13.055991,77.527057,13.170649,77.545951,07-01-2023,04:21:00,04:26:00,cloudy,medium,bike
ORD000056,DP0276,38,4.2,13.118417,77.628319,13.178722,77.741986,08-01-2023,09:38:00,09:45:00,sunny,medium,bicycle
ORD000057,DP0061,28,4.1,12.972795,77.466492,12.854142,77.575872,08-01-2023,10:32:00,10:37:00,sunny,medium,bicycle
ORD000058,DP0215,25,4.1,13.141404,77.523614,13.021029,77.774938,08-01-2023,10:57:00,11:02:00,sunny,low,scooter
