Traffic_Level,Distance_km,Weather_Index,Rider_Age,Multiple_Deliveries,Hour_of_Day,Is_Festival,Actual_Time_mins,Estimated_mins,Delay_mins,Is_Delayed
3,2.95,3,32,0,8,0,23.3,24.6,-1.3,0
2,6.66,5,31,0,9,1,28.3,28,0.3,1
4,12.57,2,23,0,9,0,47,47,0,0
2,3.41,1,32,0,11,0,17.4,17.8,-0.4,0
2,2.07,1,22,0,16,1,28.1,25.4,2.7,1
1,7.32,1,26,0,16,1,28.6,24.6,4,1
1,3.8,4,26,0,17,0,18.3,18.8,-0.5,0
1,3.07,5,29,0,0,0,19.2,16.7,2.5,1
2,5.54,1,32,0,4,1,27.2,23.6,3.6,1
1,9.38,1,21,0,4,0,29.8,27.4,2.4,1
2,3.32,1,19,0,6,0,15.6,13.5,2.1,1
3,4.89,4,26,1,7,0,30.1,31.3,-1.2,0
3,6.76,3,30,0,8,1,33.5,30.6,2.9,1
1,7.02,1,27,0,9,0,18,15.8,2.2,1
4,4.17,1,24,0,19,1,37.7,43.2,-5.5,0
2,5.13,1,30,1,4,0,24.8,25.1,-0.3,0
3,7.81,2,27,0,5,1,33.9,37.7,-3.8,0
3,9.08,1,26,0,7,0,30.2,32.3,-2.1,0
3,4.22,2,27,0,11,0,29,34.2,-5.2,0
1,3.9,4,30,1,20,0,25.5,29.1,-3.6,0
2,5.13,5,19,0,0,1,38.9,37.2,1.7,1
1,3.99,2,27,1,4,0,21.8,22.8,-1,0
2,17.62,3,24,1,6,1,56.7,63.2,-6.5,0
1,25,4,29,0,7,1,67.2,66.1,1.1,1
1,5.77,2,23,1,11,0,25.6,26.1,-0.5,0
3,3.08,3,39,1,22,0,27.5,28.7,-1.2,0
2,9.46,1,28,0,23,0,29.8,31.3,-1.5,0
1,4.83,1,31,0,23,1,20.3,21.8,-1.5,0
2,3.9,1,24,1,1,0,19,18.4,0.6,1
2,3.57,5,24,0,3,0,26.8,24,2.8,1
2,8.89,4,30,0,4,0,26.9,30.5,-3.6,0
1,3.11,2,29,0,5,0,15.4,18.4,-3,0
2,2.52,1,39,1,6,0,18.9,17,1.9,1
1,4.82,1,29,1,6,0,17.3,17.8,-0.5,0
3,6.24,4,27,0,7,0,33,37.2,-4.2,0
2,8.89,2,30,0,11,0,27.4,26.5,0.9,1
2,12.93,1,26,0,18,0,36.4,35.8,0.6,1
3,6.58,3,24,0,20,0,30.8,33,-2.2,0
3,3.04,4,25,0,6,0,25.8,25.1,0.7,1
2,7.32,1,27,1,6,0,31.5,29.9,1.6,1
2,10.26,1,28,0,6,0,31.6,30.2,1.4,1
3,4.08,1,24,0,18,0,21.1,19.4,1.7,1
2,3.89,4,32,0,18,0,17.8,17.7,0.1,1
1,5.99,2,19,0,21,1,28.8,34.4,-5.6,0
2,13.06,4,28,0,22,0,38.6,44.4,-5.8,0
3,7.5,1,30,1,22,0,30.3,32.3,-2,0
1,8.58,1,26,1,1,0,27.8,27.9,-0.1,0
3,3.05,1,24,1,13,0,31.5,31.7,-0.2,0
3,10.88,4,28,0,16,0,41.9,43.6,-1.7,0
3,3.84,2,18,1,19,0,34.3,35.8,-1.5,0
